input,output
孙大圣跃起，转眼间看到一座山峰，挡住了云层，他停下云层，睁开眼睛，眼前的山峰真是壮观！,却说那孙大圣筋斗云起，少顷间见一座山头，阻住云角，即按云光，睁睛看处，好山！
转眼间，我将两颗果实放在盘中，然后走向前殿，恭敬地献给道：“唐师父，我五庄观地处偏僻，山野荒凉，无法献上贵重的礼物。只有这两颗土仪素果，权当为您解渴之用。”,须臾敲下两个果来，接在盘中，径至前殿奉献道：“唐师父，我五庄观土僻山荒，无物可奉，土仪素果二枚，权为解渴。”
说话要像孔孟之言，举止要得体如周文。,语言遵孔孟，礼貌体周文。
小妖睁着眼睛，看他装天。,那小妖都睁着眼，看他怎么样装天。
行者不愿离开，便施展法术，拔下三四十根毫毛，吹一口气，高喊：“变！”,行者见都不肯回去，遂弄个手段，把毫毛拔了三四十根，吹口仙气，叫“变！”
在《夏景诗》中写道：“当指南方时，白昼变得迟缓，槐树和榴花的火焰交织在一起，闪耀着耀眼的光辉。黄鹂和紫燕在宫苑中欢快地歌唱，声音巧妙地融合在一起，进入绛色的帷幕中。”,和《夏景诗》曰：“斗指南方白昼迟，槐云榴火斗光辉。黄鹂紫燕啼宫柳，巧转双声入绛帏。”
在淇澳园中，欢乐的圣王任凭千亩渭川自由飘扬。,”诗曰：“淇澳园中乐圣王，渭川千亩任分扬。
行者说：“别停下来。你留在这里看管，我去跑过涧去打听打听。”,行者道：“不停当。你坐在这里看守，等我跑过涧去打听打听。”
蛟魔王说：“我叫覆海大圣。”,蛟魔王道：“我称覆海大圣。”
不久之后，六个义兄弟再次聚在一起拜贺；一听说销名的原因，每个人都感到欣喜，每天都在一起快乐地聚会。,不几日，六个义兄弟，又来拜贺；一闻销名之故，又个个欢喜，每日聚乐不提。
在漫长的等待后，孙行者写下了一首诗以记录这一刻的兴致：“风清云散，天空清澈明亮；神清气爽，星辰闪烁明亮。河水安宁，天地安泰；五方八极，旗帜飘扬。”,孙行者等候良久，作诗纪兴曰：“风清云霁乐升平，神静星明显瑞祯。河汉安宁天地泰，五方八极偃戈旌。”
在这个夜晚，国王净化了妖气，焕发精神，在五更三点时重新出现在朝堂之上。,这一夜，国王退了妖气，陡长精神，至五更三点复出临朝。
行者说：“七套。”八戒问：“怎么这么容易剥，又剥得很干净？”,行者道：“七套。”八戒道：“如何这般剥得容易，又剥得干净？”
他的行为就像是一位降临人间的阿罗汉，宛如活佛的真容。,行似阿罗降世间，诚如活佛真容貌。
用弯曲的弓发射硬弩，箭上雕翎，短棍和蛇矛一起出击，带着无尽的灵魂。,弯弓硬弩雕翎箭，短棍蛇矛挟了魂。
行者问道：“你怎么称呼为左？”,行者道：“如何为左你？”
那种懒散无拘的状态，让禅性变得混乱不堪；而灾难和危险却让道心蒙上了阴影。,正是那：懒散无拘禅性乱，灾危有分道心蒙。
三藏问：“这是哪里？”,三藏问道：“徒弟，此又是甚么去处！”
众猴看到悟空站在平地上，便跑过去问他为什么在这里。,众猴看时，只见悟空独立在平阳之地，俱跑来叩头问故。
行者轮开手，猛然抓住，用尽全力一拉，拉成了八十段。,行者轮开手，抓将过来，尽力气一揝，揝做八十段。
三藏说：“好吧，好吧！你只是想跟着我。”,三藏道：“也罢，也罢！你只是要跟着我。”
七衣仙女来到园门，看到蟠桃园土地、力士和齐天府的两位官员正在守门。,七衣仙女直至园门首，只见蟠桃园土地、力士同齐天府二司仙吏，都在那里把门。
那位守门的小妖正在熟睡，行者轻轻地在他脸上叮了一口。小妖醒来后抱怨道：“我爷爷被蚊子叮了一下，就肿起了个大包！”,只见那把门的小妖，正打鼾睡，行者往他脸上叮了一口，那小妖翻身醒了，道：“我爷哑！好大蚊子！一口就叮了一个大疙疸！”
天同寿，明心大法师。,与天同寿庄严体，历劫明心大法师。
行者问道：“怎么才能确定这是你的货物？”,行者道：“怎见得是你的货？”
在涧的另一边，耸立着一座大门，它的左侧隐藏着一条暗沟，沟水中涌动着红色的水流。,又见涧那边有座门儿，门左边有一个出水的暗沟，沟中流出红水来。
他就像天宫中的异物，世上再无与之相似的事物。,正是天宫异物般般有，世上如他件件无。
刚刚熄灭了家里的火，在门楼下摆放了一张竹床和一张板铺，准备入睡。,却才收了家火，在那门楼下，安排了竹床板铺睡下。
毗蓝道说：“你的绣花针，其实只是钢铁金针，根本用不了。”,”毗蓝道：“你那绣花针，无非是钢铁金针，用不得。
那屏风后面转出一个美丽的狐狸，恭敬地问道：“娘娘有什么命令要交给春娇呢？”,那屏风后转出一个玉面狐狸来，跪下道：“娘娘唤春娇有何使令？”
多官说道：“我家这里的人认为：如果要用无根水，只需拿着一个碗或盏到井边或河边，直接舀水，然后快速转身回家，不要让水滴在地上，也不要回头看，直接把水给病人喝就好了。”,多官道：“我这里人家俗论；若用无根水，将一个碗盏，到井边，或河下，舀了水急转步，更不落地，亦不回头，到家与病人吃药便是。”
那天游神径来到南天门内的灵霄殿下，向玉帝汇报情况，详细讲述了前因后果。玉帝说：“这泼猴头，说话太没分寸，之前观音曾提到过，让他保护唐僧，我已经派五方揭谛、四值功曹轮流守护，现在又借了天装，难道天还能装吗？”,那日游神径至南天门里灵霄殿下，启奏玉帝，备言前事，玉帝道：“这泼猴头，出言无状，前者观音来说，放了他保护唐僧，朕这里又差五方揭谛、四值功曹，轮流护持，如今又借天装，天可装乎？”
行者和八戒紧追不舍，决心彻底消灭老虎。,行者与八戒那里肯舍，赶着那虎，定要除根。
散乱的头发像一窝丝，从未戴过缨络。,散挽一窝丝，未曾戴缨络。
丞相下令准备盛宴，尽情享乐一整夜。,丞相吩咐安排酒席，欢饮一宵。
又深深鞠躬说：“听说了。”,却又打个深躬道：“以闻。”
他穿上那件衣服后，身上仿佛长满了针刺，连我大王都不敢碰触他一下。,他自穿了那衣，就浑身上下都生了针刺，我大王摸也不敢摸他一摸。
大圣发现真相，立刻收敛身心，毫毛消失，怪物的痛苦也随之消失。,大圣审得是实，即便将身一抖，收了毫毛，那怪的心就不疼了。
三藏听到这个请求后问道：“孙悟空，是谁在召唤我？”,三藏闻言道：“悟空，是甚人叫我？”
二童笑着说：“孔子说过，道路不同，无法相互理解。我们太乙玄门和那和尚有什么交集！”,二童笑道：“孔子云，道不同，不相为谋。我等是太乙玄门，怎么与那和尚做甚相识！”
第二天早上，国王下令，将丹青图上的圣僧四人 happy 容颜供养在华夷楼内，还请公主重新打扮，走出殿堂，感谢唐僧四众所拯救的苦难。,次早，国王传旨，召丹青图下圣僧四众喜容，供养在华夷楼上，又请公主新妆重整，出殿谢唐僧四众救苦之恩。
七长八短，一百余口，精神抖擞，手持武器，齐声喊道：“大王爷爷，我们受奶奶的委托，前来帮助！”,前后点起七长八短，有百十余口，一个个卖弄精神，拈枪弄棒，齐告：“大王爷爷，我等奉奶奶内旨，特来助力也！”
"""怪物来了！"" 角木蛟急忙呼喊道。",角木蛟急唤：“兄弟们！怪物来了！”
行者问道：“你怎么解释为什么打下来就消失了，但并没有拿走呢？”,行者道：“你既不曾拿去，如何打下来就不见了？”
拿来，我也尝几个新的。,拿来拿来，我也吃几个儿尝新。
当百姓忍受饥荒时，突然锺南出现了一群神秘的全真之人。,百姓饥荒若倒悬，锺南忽降全真怪。
国王下令更换招牌和匾额，新的招牌上写着“护国伏龙寺”。,那国王即命换了字号，悬上新匾，乃是“敕建护国伏龙寺”。
那个从者被绑得非常痛苦地哭泣着，黑汉问：“这三样东西是从哪里弄来的？」,只见那从者绑得痛切悲啼，那黑汉道：“此三者何来？”
他将那宝贝摇来晃去，笑着说道：“小宝贝，真小啊！”,他将那宝贝颠在手中，叫：“小！小！小！”
在送星官回宫后，他才感到心满意足，欣喜若狂，在天宫中尽情享受快乐，毫无烦恼。,送星官回转本宫，他才遂心满意，喜地欢天，在于天宫快乐，无挂无碍。
行者笑着说：“师父真是太偏心了！像老孙被带走时，你毫不在意，反正他是舍命之材；这呆子才被捉住，你就责怪我。也应该让他受些苦，才能看出取经的困难。”,行者笑道：“师父也忒护短，忒偏心！罢了，象老孙拿去时，你略不挂念，左右是舍命之材；这呆子才自遭擒，你就怪我。也教他受些苦恼，方见取经之难。”
行者说：“我不难受了。古人说，人高兴的事情会感觉心情愉悦。你看着行李和马匹，等我回来。”,行者道：“我不疼了。古人云，人逢喜事精神爽。你看着行李马匹，等我去。”
一行人跟着行者，听到声音纷纷赶来。,行者在前引马，一行闻响而来。
猴子们很害怕，喊道：“大王，再玩一次！”,众猴骇然，叫道：“大王！还拿出来耍耍！”
有人请求借扇子给唐僧，有人却不愿意借芭蕉。,一个要求扇子保唐僧，一个不借芭蕉忒鄙吝。
三藏下马，看到山门左边有一座碑，上面写着“万寿山福地，五庄观洞天”。,三藏离鞍下马，又见那山门左边有一通碑，碑上有十个大字，乃是“万寿山福地，五庄观洞天”。
那位殿下连连表示感谢，唐长老心中充满喜悦，三位小王子恭敬地跪在地上，沙僧搀扶着说道：“不要谢，都过来看看那东西。”,那殿下喏喏相谢，唐长老满心欢喜，三个小王子跪拜于地，沙僧搀起道：“且莫谢，都近前看看那物件。”
三藏听到这番话，感激万分，他和他的徒弟们都向那位老者行了一个深躬。,三藏闻言，感谢不尽，师徒们俱拜辞老者。
三藏吓得脸色苍白，放下手中的饭碗，弯着腰说道：“我是来自唐朝的取经人，只是一个普通人，并非什么神奇的存在。”,唬得三藏面容失色，丢下饭碗，躬着身道：“贫僧乃唐朝来取经者，人也，非怪也。”
清风和明月两位童子说道：“前几天找不到果子的时候，我们只能数出二十二个，今天却莫名其妙地多了一个。”,清风、明月二童子道：“前日不见了果子时，颠倒只数得二十二个，今日回生，怎么又多了一个？”
在道路上，有人抬着轿子，有人骑着马，有人步行，都让长老们先行。,众等让叙道路，抬轿的抬轿，骑马的骑马，步行的步行，都让长老四众前行。
四人行很久，看到城墙。长老指着一座城说：“悟空，那里有一座城。”,四众行彀多时，又见城垣影影，长老举鞭遥指叫：“悟空，你看那里又有一座城池，却不知是甚去处。”
在作出承诺后，他毫不犹豫地跃身而起，尾部微微翘起，最终在南天门前的空地跳了下来，感激地谢了哪吒太子的旗子相助。,说了誓，将身一纵，把尾子翘了一翘，跳在南天门前，谢了哪吒太子麾旗相助之功。
行者说：“师父，我在你身边。不要着急，不要烦恼，我们必须抓住妖精，才能救你的命。”,行者道：“师父，我在你头上哩。你莫要心焦，少得烦恼，我们务必拿住妖精，方才救得你的性命。”
沙僧感到非常惭愧，赶紧掩饰过去，整理好行李，然后把马匹背好，等待在途中。这一切都不再被提起。,沙僧也甚生惭愧，连忙遮掩，收拾行李，扣背马匹，都在途中等候不题。
在西域遇到佳节，来到金平庆祝元宵。,幸来西域逢佳节，喜到金平遇上元。
老人和孩子们都欢天喜地，整理好了饭桌，搬开了桌凳，唐僧们开始享用这顿斋宴。,众老小无不欢喜，整顿斋饭，调开桌凳，唐僧们吃了斋。
国王高兴地转了转金卮，递给了行者。,国王却才欢喜，转金卮，递与行者。
在荆棘丛生的地方隐藏着鬼怪，石崖上闪烁着邪魔的身影。,荆棘丛丛藏鬼怪，石崖磷磷隐邪魔。
鬼王听到这番话，接着说道：“大王拥有如此神奇的力量，为何还要养马给他？或许可以让他成为‘齐天大圣’，这样有何不可呢？”,鬼王听言，又奏道：“大王有此神通，如何与他养马？就做个‘齐天大圣’，有何不可？”
那七只狮子精和那三个凶猛的和尚，战斗力强劲：他们手持棍棒、锤枪和斧头，动作简练，手持蒺藜骨朵和四明铲。,那七个狮子精，这三个狠和尚，好杀：棍锤枪斧三楞简，蒺藜骨朵四明铲。
三藏在马上大声喊道：“徒弟，前面水很宽，为什么没有船只经过？我们怎么过去？”,三藏在马上忙呼道：“徒弟，你看那前边水势宽阔，怎不见船只行走，我们从那里过去？”
行者说：“八戒能背得动。”,”行者道：“八戒驮得。
金刚们并没有阻拦他，而是让他顺利进入了大雄殿前。,众金刚也不阻挡，让他进去，直至大雄殿前。
小妖把八戒放进水里，就结束了叙述。,那小妖把八戒抬进去，抛在水里不题。
曾经孕育我于三阳之中，如今回归本真，一切和谐相谐。,当年产我三阳泰，今日归真万会谐。
师徒们玩了很久，看到陈家老者，他带着两个仆人扫干净道路，又送来热汤洗面。,师徒们叹玩多时，只见陈家老者，着两个僮仆，扫开道路，又两个送出热汤洗面。
俗话说：君让臣死，臣不忠；父让子亡，子不孝。,常言道，君教臣死，臣不死不忠；父教子亡，子不亡不孝。
降龙和伏虎两位罗汉走过行者身旁，问道：“悟空，你知道我们为什么出门如此缓慢吗？”,旁有降龙、伏虎二罗汉对行者道：“悟空，你晓得我两个出门迟滞何也？”
当人们正在交谈时，突然看到南天门外的一名增长天王带领着一群天丁，然后说道：“弼马温不知道出于什么原因，竟然离开了天门。”,正说间，又见南天门外增长天王领众天丁，亦奏道：“弼马温不知何故，走出天门去了。”
那婆子抬头望向天空，虔诚地祈祷道：“爷爷啊！这位和尚竟然会飞翔在云层之上！”,那婆子才望空礼拜道：“爷爷呀！这和尚会驾云！”
差官立即召来圣僧的徒弟，让他带着关文西离开，留下圣僧在这里做驸马，长老只好站起来侍立在一旁。,随即差官召圣僧徒弟领关文西去，留圣僧在此为驸马，长老只得起身侍立。
在疑惑之际，黄门官再次前来报告：“陛下，门外聚集了许多乡老等待宣召。”,正疑惑之间，又见黄门官来奏：“陛下，门外有许多乡老听宣。”
八戒说：“我不是笨拙的人，你们真是太卑微了！”,”八戒道：“我不是夯货，你等真是奴才！
行者笑着说：“我答应你的要求，你也得回应我；我要求你，你得有反应吗？”,行者笑道：“你叫我，我就应了；我若叫你，你可应么？”
行者纵身一跃，发出一声唿哨，迅速飞向空中。手持铁棒，大声喝道：“停下！停下！我在这里！”,好行者，纵身打个唿哨跳到空中，执铁棒厉声高叫道：“慢来！慢来！有吾在此！”
包、衣服、鞍辔全都浸湿透了。,只是经包、衣服、鞍辔俱湿了。
"""仔细观察师父，如果这家伙不礼貌地欺负师父，你就展现你以前的老技巧，吓唬他一下，等我去拿水来。""",“你好仔细看着师父，若这家子无礼，侵哄师父，你拿出旧时手段来，装吓虎唬他，等我取水去。”
最终，殷小姐平静地结束了生命，而玄奘则前往金山寺感谢法明长老。,后来殷小姐毕竟从容自尽，玄奘自到金山寺中报答法明长老。
那虎先锋，腰间挂着两把赤铜刀，双手捧着唐僧，恭敬地跪下说道：“大王，小将虽无能，却受钧令前往山上巡逻。今日遇到一位来自东土大唐的和尚，即御弟三藏法师，前往西方拜佛求经。我已将他擒获，愿呈上一份薄礼。”,那虎先锋，腰撇着两口赤铜刀，双手捧着唐僧，上前跪下道：“大王，小将不才，蒙钧令差往山上巡逻，忽遇一个和尚，他是东土大唐驾下御弟三藏法师，上西方拜佛求经，被我擒来奉上，聊具一馔。”
我与他搏斗，他放出金光笼罩着我，但我运用法术逃脱了。,我与那厮赌斗，他就放金光罩住我，是我使神通走脱了。
不到两天的时间，就已经到达了法门寺。,一二日马不停蹄，早至法门寺。
八戒说：“怕什么！我去打他一仗！”,八戒道：“怕他怎的！等我去打他一仗来！”
当十王低头查看时，他发现太宗的名字被写在三十三年这个地方，阎王惊讶地问道：“陛下已经登基多久了？”,十王从头看时，见太宗名下注定三十三年，阎王惊问：“陛下登基多少年了？”
大圣打斗中愈发兴奋，真仙坚持战斗愈发谨慎。,大圣愈争愈喜悦，真仙越打越绸缪。
大圣告别三星，不提告别之事。,大圣辞别三星不题。
光蕊和玄喔一起来到刘家店找婆婆。,光蕊便同玄奘到刘家店寻婆婆。
那妖看到他来了，朝着他喷了一口烟。,那妖见他来到，将一口烟，劈脸喷来。
牛羊不喜饮用过深的黑色水，鸦鹊难以飞翔在这渺远的迷雾中。,牛羊不饮嫌深黑，鸦鹊难飞怕渺弥。
行者听到这消息后说道：“如果真是这样的话，四海龙王都应该受到惩罚。”,”行者闻言道：“这等说，四海龙王都该有罪。
唐僧问行者：“这是哪里？”他们已经走了五六天，发现了一个城镇。,去有五六日程途，又见一座城池，唐僧问行者道：“此又是甚么处所？”
在溪边，啸风山魅悠然站立，戏弄着樵夫；而崖畔上，成器狐狸却悠然自得，惊扰着猎户。,啸风山魅立溪间，戏弄樵夫；成器狐狸坐崖畔，惊张猎户。
在御花园里，三藏师徒都相聚了，天色渐渐暗了下来，一道素食宴摆放在面前。,却说三藏师徒们都到御花园，天色渐晚，摆了素膳。
旌旗在云中移动，豹尾随风摇动；阳光照耀下，螭头上的玉佩摇摆不定。,云移豹尾旌旗动，日射螭头玉佩摇。
寿星说：“大圣别担心，别着急。”,”寿星道：“大圣放心，不须烦恼。
三藏说：“悟净，你怎么这么迟钝！如果是在正月或二月，每天都是暖和的，可以等到冻解。但现在却是八月，每天都是越来越冷，怎么能马上看到解冻！这会耽误我们半年的行程吧？”,三藏道：“悟净，怎么这等愚见！若是正二月，一日暖似一日，可以待得冻解。此时乃八月，一日冷似一日，如何可便望解冻！却不又误了半载行程？”
"金星笑着说：“你这猴子真得太无情了，我以前曾经帮助过你，你却一点都不听我的？""",”金星笑道：“你这猴忒恁寡情，我昔日也曾有些恩义儿到你，你这些些事儿，就不依我？
"太宗问：“那件袈裟有什么特别之处，为什么那么值钱？""",太宗道：“那袈裟有何好处，就值许多？”
行者笑着说：“师父，您放心吧，我敢肯定那黑怪就是偷东西的人。”,”行者笑道：“师父放心，不须讲了，一定是那黑怪偷去无疑。
真相显露，力量减弱，全身酸痛，眼泪止不住流下，突然大声喊道：“师父，我们一起在山上苦练，面对大海无畏，却在阴沟里遇到了风浪！”,出来现了本相，力软筋麻，浑身疼痛，止不住眼中流泪，忽失声叫道：“师父啊！当年秉教出山中，共往西来苦用工。大海洪波无恐惧，阳沟之内却遭风！”
行者教导道：“关闭家里的一切火源，不要理会他！”,行者教：“收了家火，莫睬他！”
行者被一条藤棍轮起，七八下打在了光头上。,轮起一条扢挞藤棍，照行者光头上打了七八下。
悟空在一旁笑着说道：“那个家伙虽然有点本事，但那个圈子却厉害得很。不知道那是什么宝贝，扔出去就能套住各种东西。”,悟空在旁笑道：“那厮神通也只如此，争奈那个圈子利害。不知是甚么宝贝，丢起来善套诸物。”
长老问：“这里有没有人家化饭？”行者回答：“南山有一片红色的山桃，看起来应该是成熟了，我摘几个给你吃。”,”那长老问甚东西，行者道：“这里没人家化饭，那南山有一片红的，想必是熟透了的山桃，我去摘几个来你充饥。
突然间，眼前出现一条长长的山岭，顶端有一条蜿蜒的道路。,忽见一条长岭，岭顶上是路。
九齿玉垂牙，双环金坠叶。,造成九齿玉垂牙，铸就双环金坠叶。
八戒问道：“怎么才能分辨真假？”,”八戒道：“怎认得是假？
兵兵朴朴的声音在战斗中回荡，战士们的喊声如山丘般震耳欲聋。,朴朴兵兵钩棒响，喊声哮吼振山丘。
那位女士轻轻撑起船桨，轻盈地摇动着，很快就穿过了河流。,那妇人撑开船，摇动桨，顷刻间过了河。
八戒在一旁看到这种行为和礼仪，不禁发出了一阵咯咯的笑声：“这位皇帝实在是太有趣了！怎么能为了一番老婆就放弃江山，居然还跪在和尚面前？”,八戒在旁见出此言行此礼，忍不住呵呵大笑道：“这皇帝失了体统！怎么为老婆就不要江山，跪着和尚？”
用白练缠头，耳朵上戴着黄金嵌宝环的丝帕。,头缠白练攒丝帕，耳坠黄金嵌宝环。
八戒说：“我现在头晕眼花，什么都看不清，根本分不清是谁。”,”八戒道：“我已此晕倒昏迷，眼花撩乱，那认得是谁？
在街边，人们看到先主李渊，先兄建成，还有故弟元吉，他们高喊：“世民来了！”,只见那街旁边有先主李渊，先兄建成，故弟元吉，上前道：“世民来了！世民来了！”
牙齿被锯子包着，耳朵尖尖地连在一起。,锯牙包口，尖耳连眉。
三藏问：“悟空，你看那是哪里？”,三藏道：“悟空，你看那里是甚么去处？”
那呆子毫不废话，立刻赶上前去，挥动着钯子准备进攻。,那呆子不打话，赶上前，举钯就筑。
龙头结被环绦紧紧束住，蚕口绒被轻盈地缠在芒履上。,环绦紧束龙头结，芒履轻缠蚕口绒。
黑烟弥漫天空，看不到一颗星星；红焰熊熊燃烧，大地被照得通红。,黑烟漠漠，长空不见一天星；红焰腾腾，大地有光千里赤。
这一根铁棒像一条龙尾，那支长枪像一条蟒头。,这一个铁棒如龙尾，那一个长枪似蟒头。
在赏花灯时，禅心变得混乱；喜欢游览美景，道心却变得迷茫。大丹自古以来都适宜长久守护，但一旦失去，原来会感到亏欠。紧闭自己，不要放松；稍有懈怠，便会看到参差。,爱赏花灯禅性乱，喜游美景道心漓。大丹自古宜长守，一失原来到底亏。紧闭牢拴休旷荡，须臾懈怠见参差。
那怪随后赶到，靠近岸边。行者无法忍受，离开师父，手持铁棒，跃至河边，毫不留情地朝着妖精头部猛击。,那怪随后赶来，将近到了岸边，这行者忍耐不住，撇了师父，掣铁棒，跳到河边，望妖精劈头就打。
老孙生气了，一棍子打倒了他的树，果子全掉光了，树枝断裂，叶子飘落，根受伤了，已经枯死了。,是老孙恼了，把他树打了一棍，推倒在地，树上果子全无，桠开叶落，根出枝伤，已枯死了。
经常在心里默念，总是向般若寻求皈依。,口中常作念，般若总皈依。
才 悟空压云头。,悟空才按下云头。
大圣一听，便连续应答八九声，但却无法假装离开。,大圣听得，却就不歇气连应了八九声，只是不能装去。
行者说：“里面装着日月星辰，外面却没有光，所以看起来很黑。”,行者道：“日月星辰都装在里面，外却无光，怎么不黑！”
同享天地之寿，言语岂敢称谬？福似洪波，谈论何来狂妄？福寿康宁，清闲极乐，西方之地，极乐之乡。,寿同天地言非谬，福比洪波话岂狂。福寿如期真个是，清闲极乐那西方。
行者笑着说：“真是神奇啊！”,”行者笑道：“真造化了！
这座桥长达数里，宽度只有三皻，高度达百尺，深不可测。,桥长数里，阔只三皻，高有百尺，深却千重。
不敢谈论驾有言，无法递交给黄门。,当驾有言不敢谈，黄门执本无由递。
这位菩萨走到多宝台边，看起来确实是有智慧的金蝉。,这菩萨直至多宝台边，果然是明智金蝉之相。
那座城池果然存在，六街道口三座市集，万户人家千扇门，人来人往，皆在阳光普照之下。,果然那厢有座城池，六街三市，万户千门，来来往往，人都在光天化日之下。
行者听后觉得有道理，不敢动身，只能放弃自己的计划，跪下恳求道：“师父，他只是想为难我，让我跟你一起去西天。我也不想惹他，你也不要总是唠叨，只要专心念经就可以了。我愿意保护你，再也不会后悔了。”,行者见说得有理，真个不敢动身，只得回心，跪下哀告道：“师父！这是他奈何我的法儿，教我随你西去。我也不去惹他，你也莫当常言，只管念诵。我愿保你，再无退悔之意了。”
在龙争虎斗的时候，鳞甲闪耀着光芒，爪牙狂乱地飞舞着。,龙争处，鳞甲生辉；虎斗时，爪牙乱落。
这是关系到利益的问题，关系到利益！,利害，利害！
那怪物说：“师父，你有什么宝贝可以借给我这个普通人看看，消除厄运。”,那怪道：“师父有甚宝贝？也借与我凡人看看压灾。”
教唆说：“孩子们，把唐僧绑起来，把那两个宝贝解下来，换成两条绳子也把他绑起来。拖到后面去，等我把他的大徒弟抓住，一起清洗干净，然后好一起烹饪吃掉。”,教：“小的们，把唐僧捆了，将那两个解下宝贝，换两条绳子也捆了。且抬在后边，待我拿住他大徒弟，一发刷洗，却好凑笼蒸吃。”
葛仙翁拿过来，放在御案上。,葛仙翁接了，铺在御案。
手持铁斧，挽着火绳。,手执衠钢斧，担挽火麻绳。
当我抬起头时，我发现是孙行者偷了东西，于是我急忙拿着剑赶了过去。,抬头看时，是孙行者偷了，急慌忙执剑来赶。
假山上的石头翠绿，水中的波纹深邃。,假山拳石翠，曲水碧波深。
菩萨说：“你先走。”,菩萨道：“你先过去。”
刚刚，沙僧感到无比欣慰。,沙僧方才欢喜。
寿星说：“好吧，我会耐心等待。你和天蓬下洞抓住那个美人，然后一起来找我。”,寿星道：“既这等说，我且宁耐。你与天蓬下洞擒捉那美人来，同去现相可也。”
行者说：“别瞎猜，我看一下。”,行者道：“莫胡疑乱说，待我看去。”
祖师问：“悟空，事情办好了吗？”,祖师道：“悟空，事成了未曾？”
小钻风看到他坐在高处，得意地展示着自己的智慧和力量，大声呼喊着，毫不示弱。但是面对他的挑衅，小钻风只能老老实实地说道：“我们大王无所不能，实力非凡，曾经一口气吞噬了十万天兵。”,那小钻风见他坐在高处，弄獐弄智，呼呼喝喝的，没奈何，只得实说道：“我大王神通广大，本事高强，一口曾吞了十万天兵。”
那师父在马上远眺，那座山景真是壮观：山顶高耸入云，树木枝梢仿佛触碰到云霄。,那师父在马上遥观，好一座山景，真个是：山顶嵯峨摩斗柄，树梢仿佛接云霄。
行者摸着他的光头，摇晃着说道：“师父怎么睡着了？”,行者摸着他的光头，乱摇道：“师父怎睡着了？”
"""本僧人是唐王派遣前往西天取经的和尚。近日途经此处，遭遇一些凶险的险阻，四周环绕着凶猛的野兽，无法继续前行。突然间，太保出现，众兽纷纷逃散，拯救了我的生命，感激不尽！感激不尽！""",“贫僧是大唐驾下钦差往西天拜佛求经的和尚。适间来到此处，遇著些狼虎蛇虫，四边围绕，不能前进。忽见太保来，众兽皆走，救了贫僧性命，多谢！多谢！”
菩萨说：“先说说为什么会有皂白之分呢？我听一下。”,菩萨道：“且说那皂白原因来我听。”
大圣飞起来观察，发现那呆子四肢朝上，张着嘴，半浮半沉，嘴里呼呼的，看起来非常可笑，像一个八九月份经霜落了子儿的巨大黑莲蓬。,大圣却飞起来看处，那呆子四肢朝上，掘着嘴，半浮半沉，嘴里呼呼的，着然好笑，倒象八九月经霜落了子儿的一个大黑莲蓬。
行者说：“声音虽然是假的，但我可以让他露出真面目给你看。”,”行者道：“响便是个假的，我教他现出本相来你看。
在凤台之上，吹奏箫管召唤着凤凰的到来；而在龙沼之间，养育着鱼类，期待着它们化身为龙而去。,凤台之上，吹箫引凤来仪；龙沼之间，养鱼化龙而去。
六健将说：“我认识。”,六健将道：“认得。”
在五七天的荒路上行进，有一天黄昏时分，师徒们突然看见远处有座村落。,师徒们行了五七日荒路，忽一日天色将晚，远远的望见一村人家。
游蜂喜欢海榴娇艳，黄雀在溪柳阴浓中狂舞。,海榴娇艳游蜂喜，溪柳阴浓黄雀狂。
那怪物不予理会，毫不犹豫地伸出一只像簸箕一样大的蓝靛手，紧紧抓住了金枝玉叶的发万根，公主被他揪倒在地。他手持钢刀，却转身审问沙僧：“沙和尚！你俩为何擅自闯入我们的国度？莫非那位公主有书信到她的国家，国王让你前来传召？”,那怪闻言，不容分说，轮开一只簸箕大小的蓝靛手，抓住那金枝玉叶的发万根，把公主揪上前，捽在地下，执着钢刀，却来审沙僧，咄的一声道：“沙和尚！你两个辄敢擅打上我们门来，可是这女子有书到他那国，国王教你们来的？”
小妖回来禀报：“大王，他正在走路呢。”,”小妖回报道：“大王，是走路的。
群山如剑，高耸入云。,千峰开戟，万仞开屏。
在这一刻，我心中已经充满了慈悲。,因此心中已是有个慈悲。
弟子前来拜访，老爷来自上邦，是否有珍贵的宝贝愿意借给弟子一看？,老爷自上邦来，可有甚么宝贝，借与弟子一观？
行者笑着说：“你这老先生，说的太夸张了。你说这山路上有八百里，你们又不是大禹的军队，怎么可能开山凿路！要想让我师父过去，还得我们自己努力，你们都帮不上忙。”,行者笑道：“你这老儿，俱言之欠当。你初然说这山径过有八百里，你等又不是大禹的神兵，那里会开山凿路！若要我师父过去，还得我们着力，你们都成不得。”
大圣派遣众神，让土地在这里守护，八戒、沙僧各自施展法术，将王父子背回州城，然后搀扶着唐僧。,大圣又发放了众神，还教土地在此镇守，却令八戒、沙僧，各各使法，把王父子背驮回州，他搀着唐僧。
沿着曹溪路前行，道路艰难险峻，越过暨岭山峰，云雾缭绕深幽。此刻，故人已远去，只剩下寂寞的声音在耳畔响起。,曹溪路险，暨岭云深，此处故人音沓。
